id,full_text,retweet_count,Sentiment
1.24E+18,RT @ebs_the_great: A lot of you would actually benefit from taking a good look introspectively at your issues with women. This is just gros…,631,0.35
1.24E+18,"RT @Damii_aros: Mayorkun is somewhere in the studio singing ""Ramona, this your body dey killing person like Corona""",2568,0
1.24E+18,"RT @iam_erhnehst: Everything was fine in the world until Liverpool decided to take the premier league title 😩💔😂
Kobe died😩
World war 3
Coro…",1004,0.416666667
1.24E+18,RT @chandlerriggs: here’s a deleted scene from TWD’s special on corona virus https://t.co/qGuSfyjpK5,12631,0.357142857
1.24E+18,"RT @RealSaavedra: Good.

It came from China.",159,0.7
1.24E+18,"RT @TattooedFemdom: My dick is Bigger than Corona virus
My dick is Bigger than Corona virus
My dick is Bigger than Corona virus
My dick is…",13,0
1.24E+18,RT @LiILevi: The only man who can save us from corona virus https://t.co/Qoc1QhVYm5,7073,0
1.24E+18,Aha. Knew it. Another hidden family issue will be an explosion of credit card debt. https://t.co/9lRUb9bZXK,0,-0.166666667
1.24E+18,this quarantine has kicked my depression up a couple notches thanks to my work and routine being void now and im effectively avoiding my phone now bc everyone is nuts sending corona stuff. dont blame them but christ the anxiety is driving me up the wall,0,0.4
1.24E+18,"RT @MiracleShadrack: My hand after washing it 20 times today 😣😣

   Look at what corona has cause😷😭😭
        
Bomboclaat https://t.co/zToIS…",464,0
1.24E+18,RT @askjillian: Disgusting. But let’s clutch our pearls bc @RickWilson’s riff on #bebest These ppl are actively killing Americans.,5,-0.566666667
1.24E+18,"RT @ioproducer: There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",48755,-0.352857143
1.24E+18,RT @A_Men12: Somebody check on this mans cte,1,0
1.24E+18,"RT @MrJonCryer: There you have it.

Proof that this is an intentional tactic. Trump et al are trying to bait us into fighting over his raci…",1657,0
1.24E+18,"RT @bowcoupmerci: @DanRather Yes! And where the hell are these? Jack Ma donated 500,000 testing kits and 1 million masks.  #WhereAreTheMask…",9,0
1.24E+18,RT @goodbeanaltalt: holy shit I hate every person in this video,69733,-0.5
1.24E+18,"RT @RedTRaccoon: You can no longer defend this.

Make up any excuse or reasoning you want, it's intentional and it's racist. https://t.co/M…",1570,-0.05
1.24E+18,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",103642,0.5
1.24E+18,"@JahmalUsen What's the problem?
What are you going through? 
You can talk to me. 
You can't commit suicide in this corona virus era, don't try to run away.",0,0
1.24E+18,"RT @ioproducer: There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",48755,-0.352857143
1.24E+18,"RT @yagirlren: BREAKING‼️‼️‼️
a new symptom of the corona virus was just discovered. It’s called PJP which translates to Phat. Juicy. Pussy…",2,0.136363636
1.24E+18,RT @isoquince: Me at my funeral when I hear Messi dropped a 6.2 rating on SofaScore https://t.co/1g7HDdmiRL https://t.co/yGFo6iWTIY,94,0
1.24E+18,RT @goodbeanaltalt: holy shit I hate every person in this video,69733,-0.5
1.24E+18,RT @nicolebyer: Everyone in this looks sick,51468,-0.714285714
1.24E+18,"RT @Jasucov: 2002 kids- born right after 9/11, watched our parents lose their jobs in 2008, grew up in the worst recession since the 1930s,…",2,-0.357142857
1.24E+18,"RT @jabinbotsford: Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",33161,0
1.24E+18,"RT @Shehzad_Ind: Lakhs of daily wagers - domestic help, carpenters,cleaners, plumbers,spot boys on sets,etc will lose livelihood due to soc…",1369,-0.041666667
1.24E+18,RT @charlesornstein: Holy shit. This is not fake news.,8,0.025
1.24E+18,I literally just said this lmaoooo https://t.co/71gAp5t3m4,1,0
1.24E+18,RT @nicolebyer: Everyone in this looks sick,51468,-0.714285714
1.24E+18,RT @bIondiewasabi: this man’s piss could stop corona,47401,0
1.24E+18,"RT @joncoopertweets: “If I get corona, I get corona,” said one Ohio student on spring break in Florida. “At the end of the day, I’m not gon…",199,0
1.24E+18,RT @LetsWeeb: Weebs be sitting at home tweeting about the corona but watch anime on illegal sites. Mfs worried about the wrong virus,513,-0.5
1.24E+18,"RT @MiekeEoyang: They're trying to spur a culture war to distract from their own incompetence. 

So you don't notice them:

firing professi…",274,0.6
1.24E+18,"RT @jabinbotsford: Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",33161,0
1.24E+18,"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",103642,0.5
1.24E+18,RT @ed_solomon: This is repugnant,90,0
1.24E+18,"RT @jbarro: Among other things, what this shows is they're using the term ""the coronavirus"" internally like everyone else and are throwing…",6584,-0.0625
1.24E+18,"@citizentvkenya But are these measures enough? I don't think so. 120 bed capacity,not good. How about the whole facility be set aside for corona virus?",0,0.3
1.24E+18,RT @chandlerriggs: here’s a deleted scene from TWD’s special on corona virus https://t.co/qGuSfyjpK5,12631,0.357142857
